prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
0,9472,1,False,14143470.199996956,1044944.9996485782,262601409.0001263,262601409.0001263
0,9728,1,False,15603492.250033924,1043949.9999392865,291864896.9998685,291864896.9998685
0,9984,1,False,13145540.450022964,1044854.9999182433,242696191.00005,242696191.00005
0,10240,1,False,15064833.300039027,1059949.9998988905,280746296.9999506,280746296.9999506
0,10496,1,False,16741046.600009212,1069495.0001379766,314100255.0000849,314100255.0000849
0,10752,1,False,15510128.750020158,1063115.0000790511,289622375.9998975,289622375.9998975
0,11008,1,False,14250897.999977497,1069245.0000533427,264358987.99991265,264358987.99991265
0,11264,1,False,14893606.750024445,1081884.0000865748,276923708.0001403,276923708.0001403
0,11520,1,False,14098327.400051858,1151599.9999573978,259649678.9997218,259649678.9997218
0,11776,1,False,15607479.750065068,1158050.00018554,289800377.0001196,289800377.0001196
0,12032,1,False,15455149.249942224,1168844.4999435889,286636326.99999654,286636326.99999654
0,12288,1,False,15241666.450037884,1168495.5002237984,282318497.00023305,282318497.00023305
0,12544,1,False,14190121.79985657,1167644.999895856,261283948.99978957,261283948.99978957
0,12800,1,False,15772583.249986382,1207860.0000222651,292177166.9998634,292177166.9998634
0,13056,1,False,16693494.200035274,1198214.5001638855,310781775.00012314,310781775.00012314
0,13312,1,False,15587149.749990202,1192409.9999305326,288615797.0001477,288615797.0001477
0,13568,1,False,13330925.450031828,1227545.0001197895,242859980.00004837,242859980.00004837
0,13824,1,False,16575067.750045491,1217615.0000868803,308042005.00006115,308042005.00006115
0,14080,1,False,13817148.849875594,1211164.4996366522,252800279.999974,252800279.999974
0,14336,1,False,15542839.399927288,1229645.499961407,286992526.9997111,286992526.9997111
0,14592,1,False,15616351.199901147,1656424.4997425703,280394907.0003,280394907.0003
0,14848,1,False,17454585.4499911,1679429.9999673967,316804345.00003684,316804345.00003684
0,15104,1,False,15201073.250023,1700249.500117934,271358347.99992156,271358347.99992156
0,15360,1,False,17066318.150023106,1701045.0001180288,308615375.0000449,308615375.0000449
0,15616,1,False,16158411.749961488,1716425.0000405447,290210437.00004154,290210437.00004154
0,15872,1,False,16719624.700044733,1739160.0001701592,301046505.99969316,301046505.99969316
0,16128,1,False,15839212.799983215,1735480.000206735,283527817.00004923,283527817.00004923
0,16384,1,False,15938862.749999316,1774954.4999787759,284674806.99964654,284674806.99964654
0,16640,1,False,16468983.150025452,1748144.9999650067,295700606.0000822,295700606.0000822
0,16896,1,False,16618163.150042165,1786460.0001757937,298104944.9999773,298104944.9999773
0,17152,1,False,17723995.649953395,1790899.999832618,319963594.0000007,319963594.0000007
0,17408,1,False,17303683.149998505,1791124.9999542632,311740735.00005764,311740735.00005764
0,17664,1,False,16176432.749921333,1820080.000015878,288633336.9997374,288633336.9997374
0,17920,1,False,16016099.650028082,1841644.9997857853,285007825.9998554,285007825.9998554
0,18176,1,False,18038796.050018393,1850589.0000142246,325331534.00027007,325331534.00027007
0,18432,1,False,18320806.049973726,1826260.0001435203,331273212.99980396,331273212.99980396
0,18688,1,False,16803081.199964255,1873789.4997684634,300302766.00018626,300302766.00018626
0,18944,1,False,17033281.099975284,1871360.0002229214,304941165.99993503,304941165.99993503
0,19200,1,False,17167385.099969577,1901524.9999938533,307027096.0001835,307027096.0001835
0,19456,1,False,18478213.649996176,1893270.0002096682,333238553.0002284,333238553.0002284
0,19712,1,False,18049121.699982606,1906989.9997248286,324471704.00018877,324471704.00018877
0,19968,1,False,16010669.200022675,1925779.999965016,283317306.9998338,283317306.9998338
0,20224,1,False,18560457.39993988,1932834.9999341299,334093692.9998861,334093692.9998861
0,20480,1,False,18808166.550070383,1978760.0001563989,338230043.00029427,338230043.00029427
0,20736,1,False,16939102.200012714,1959344.999932,301144575.0003077,301144575.0003077
0,20992,1,False,18511610.00006414,1977024.5000927388,332240053.0000777,332240053.0000777
0,21248,1,False,18134723.049911372,1990709.4997506647,324281573.9999969,324281573.9999969
0,21504,1,False,17748961.99997329,2005099.9996783503,316487274.0003375,316487274.0003375
0,21760,1,False,18058127.600033913,2004610.0000854493,322644423.9999182,322644423.9999182
0,22016,1,False,17510425.699992992,2024160.0000190374,311486165.00013304,311486165.00013304
0,22272,1,False,17573813.60000636,2053830.0000225718,312125644.9999237,312125644.9999237
