prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
0,37120,1,False,79797113.6000342,2789089.0000890065,387547919.9998608,387547919.9998608
0,37120,2,False,84359083.40002243,4106110.00006611,405037757.9999349,405037757.9999349
0,37120,4,False,113522964.80004042,3955338.9999582577,551484116.0002106,551484116.0002106
0,37376,1,False,82741485.39994712,2806999.9998479034,402232337.99997616,402232337.99997616
0,37376,2,False,89687259.00003846,3784720.0001124293,433068026.00000083,433068026.00000083
0,37376,4,False,110837275.59998806,3546949.999872595,539778977.9999584,539778977.9999584
0,37632,1,False,83206479.40008712,2815069.999996922,404571058.0001014,404571058.0001014
0,37632,2,False,84256263.20004085,3434470.0000019656,407268048.0001054,407268048.0001054
0,37632,3,False,78173583.99997829,3902250.0000100993,375011310.9999802,375011310.9999802
0,37632,4,False,101087281.60007559,3999409.000016385,489253821.0001476,489253821.0001476
0,37888,1,False,81773791.60001692,2839539.9999681106,397259007.99999183,397259007.99999183
0,37888,2,False,85672142.99996522,4298259.000051985,411002526.9999369,411002526.9999369
0,37888,4,False,84136289.40002127,3933960.000040315,404711837.99991196,404711837.99991196
0,38144,1,False,79933601.6000325,2909129.0000451407,387930528.9999593,387930528.9999593
0,38144,2,False,84744635.60000913,3498190.000073009,409473918.00000334,409473918.00000334
0,38144,4,False,92289000.59993066,4101269.0001025475,444851084.99998206,444851084.99998206
0,38400,1,False,71968614.3999752,2861370.999880819,348182462.00006795,348182462.00006795
0,38400,2,False,82282041.40000343,4241179.000018747,394228628.00006443,394228628.00006443
0,38400,3,False,96159502.60008503,3996300.0001534964,464523263.00004643,464523263.00004643
0,38400,4,False,79689483.60003196,4050880.0000225166,382108649.0002017,382108649.0002017
0,38656,1,False,75848658.19999322,2857760.0000971872,367615540.99985003,367615540.99985003
0,38656,2,False,81618093.80003433,4279729.000018051,390670719.99988914,390670719.99988914
0,38656,4,False,97079858.60000008,3507529.9999789423,471336943.0000967,471336943.0000967
0,38912,1,False,70477122.39996144,2838538.9998675236,340796502.999865,340796502.999865
0,38912,2,False,81936697.40003316,3607569.9999855715,395033508.00009686,395033508.00009686
0,38912,4,False,83726011.40008555,3339839.0000911606,404970788.00012785,404970788.00012785
0,39168,1,False,72449042.40001233,2879739.0000363523,350509593.0001971,350509593.0001971
0,39168,2,False,80448421.39997855,4279419.000113194,384837648.9997918,384837648.9997918
0,39168,3,False,81004991.60004802,4046020.000032513,388583050.00007933,388583050.00007933
0,39168,4,False,91001774.59999941,3387899.000017569,441219745.0001258,441219745.0001258
0,39424,1,False,77116819.79999411,2860840.0000393884,373893429.9999528,373893429.9999528
0,39424,2,False,85633293.19995318,3539130.000035584,413799937.0000216,413799937.0000216
